ID,"Template Name",Titles,Descriptions,Images
37,rgdfgg,gdfbfd,gdfgdfgbv,uploads/assessments/1756292620_68aee60c572e4.jpg
36,"Solder pain","Frozen solder | Cramps in solder","Cervical Radicular Pain. Pain that radiates from the neck down into the arm and/or hand is called radicular pain. | Tears or inflammation of the rotator cuff tendons (muscles and tendons surrounding the shoulder joint) are a common cause.","uploads/assessments/1756186515_68ad47933cd07.jpg | uploads/assessments/1756186515_68ad47933d2ec.jpg"
35,abcd,abcd,abcd,uploads/assessments/1756127530_68ac612ad979a.jpg
34,tytyhtgh,"thftghf | fhjfghj | fjfhjnfg","fhfghfgh | fhfhjfgh | fhfghfgh","uploads/assessments/1756101206_68abfa56d72e7.jpg | uploads/assessments/1756101206_68abfa56d77cf.jpg | uploads/assessments/1756101206_68abfa56d7bb7.jpg"
33,r6utyuj,uyyu,ryuryuyru,uploads/assessments/1755774905_68a6ffb92222c.jpg
31,gvsvgds,"sfsdfvds | jhyhfjnfjn","sdfsdvfds | hjnhfngh","uploads/assessments/1755774201_68a6fcf99e1d4.jpg | uploads/assessments/1755774201_68a6fcf99e6f2.jpg"
30,krishna,"cdsfr c | xsrferbgtvfy6t","vgfryhtbg | hyt8iu7y bgy68u6",uploads/assessments/1755498258_68a2c7123bf10.jpg
29,"Unity Allen","Ullam vel quibusdam | Voluptatum exercitat","Nihil ab quis fugit | In sit libero offici","uploads/assessments/1755495427_68a2bc03191d0.jpg | uploads/assessments/1755495427_68a2bc03193f7.webp"
26,"Tyler Richard","Ducimus qui veritat | Quo tempore at esse","Quis culpa aliquam a | Sunt ex et dolore hi","uploads/assessments/1755156404_689d8fb4c7d62.jpg | uploads/assessments/1755156404_689d8fb4c7f89.jpg"
25,knee,"rffggd | dgdgfdg | ygdg","gdgdfgfdg | thhghdgh | fhfhjfgjfgj","uploads/assessments/1755494005_68a2b6753d6c4.jpg | uploads/assessments/1755494005_68a2b6753d889.jpg"
24,"Cameron Beach","Deleniti enim dolore | Culpa laboriosam et","Ullam dolores verita | Vel nostrum sit est","uploads/assessments/1755000435_689b2e7387531.jpg | uploads/assessments/1755000435_689b2e73877f8.jpg"
